customer_cif,device_id,ip_address,geo_city,geo_country,gps_lat,gps_lon,browser_app_info,vpn_flag,emulator_flag
794695104831,3024e7703a2404e783c2a31c566222e5,117.241.136.49,Patna,IN,25.590189,85.191583,Chrome/124.0,Y,N
794695104831,6f7f8c8d092129ff90d1fa00512d191e,117.4.33.33,Patna,IN,25.597798,85.194928,v8.2.0,N,N
742395798557,799afadbe74578cffd7a4d54d0b4d986,122.186.74.209,Siliguri,IN,20.14009,78.912784,v8.1.2,N,N
292085902906,756d0222a12c851987ca46b890689d61,117.139.32.190,Chandigarh,IN,30.788097,76.752588,v9.1.0,N,N
292085902906,e875f9cc6323cd3fdb929d10062fc55f,59.59.144.244,Chandigarh,IN,30.785507,76.747396,v8.2.0,N,N
538445601393,8ea8154c57e7f99e3268bc212e37ccac,49.127.206.148,Rourkela,IN,17.839394,79.320042,v8.2.0,N,N
128904137467,ba6f16324bdf265773270dc7b780a50f,182.164.73.225,Muzaffarpur,IN,22.938778,80.880036,v7.5.3,N,N
975567584922,f7c3f459851f04a4a9101322dab99a3c,103.144.38.123,Pune,IN,18.544573,73.806537,v8.1.2,N,N
973001796990,c549cb59a235669df8531ff8814b169c,103.208.64.248,Bengaluru,IN,13.006319,77.631471,Firefox/125.0,N,N
199943049672,a12f09eabd8b877a2be35ed20585727e,106.112.3.18,Howrah,IN,22.131298,74.204292,Safari/17.4,N,N
933786795023,db774c9db3f6f393a8cc75070e9e4b3a,203.150.97.67,Karimnagar,IN,18.413727,76.788291,v8.2.0,N,N
524834551942,4b040f2be08b388f0b285813c591475b,117.45.170.170,Kota,IN,24.169317,80.589796,v8.1.2,N,N
898734675667,5aab23bd419fee27ba53a0fbdd5fa7bb,203.98.119.181,Amritsar,IN,25.364369,77.658165,SamsungBrowser/24.0,N,N
898734675667,c029ee72cdcaac48a0f34a4335d65b0a,103.218.95.180,Amritsar,IN,25.364121,77.655162,Edge/124.0,N,N
898734675667,748d84d705cb6bcb0157316f93dde4e1,106.104.138.168,Amritsar,IN,25.377495,77.648935,SamsungBrowser/24.0,N,N
493049218308,9ec90c310554c3a60404eb6b58488128,49.255.49.5,Kota,IN,18.529075,73.847989,v9.1.0,N,N
493049218308,f02e596cee0cb39da2e2239866e2f0e1,203.190.41.169,Kota,IN,18.542772,73.860752,v8.1.2,N,N
325099757838,54a448f65c2ba0aaf0e0fc30d742841b,49.255.228.84,Kozhikode,IN,20.803616,80.513761,SamsungBrowser/24.0,N,N
618610719387,550a276b735bd1a2f1a5f6293376872a,182.211.80.85,Kochi,IN,9.948377,76.284153,Firefox/125.0,N,N
618610719387,1d48d7ca6dd69c0f15c21a16634f3229,182.36.55.9,Kochi,IN,9.944003,76.291465,v8.2.0,N,N
924750859951,74e00ab86ddc81273c5ac639c795d6de,157.157.56.12,Thiruvananthapuram,IN,21.283985,77.263381,SamsungBrowser/24.0,N,N
420142077431,e3f8db15899aa22e9e4091ade50f8a4c,59.188.14.65,Vadodara,IN,24.269815,76.993913,v8.2.0,Y,N
420142077431,579c853641e1b03cf381a1295befe7de,117.221.88.252,Vadodara,IN,24.260569,76.99215,Safari/17.4,N,N
580030035342,758a9bd61aa85d175102e805194c0cd2,106.41.74.212,Hubli,IN,18.842376,74.758579,SamsungBrowser/24.0,N,N
580030035342,29f058b4c68e51c18fc74e1077b9100f,182.250.35.9,Hubli,IN,18.837293,74.765672,v8.1.2,N,N
580030035342,b93ebb59f02df3884fe31a71678feaf5,106.228.0.115,Hubli,IN,18.83696,74.757215,v7.5.3,N,N
342253202781,3bf62ce0d47cd3244d2815ae47d25fb8,59.217.35.245,Hyderabad,IN,17.40778,78.465486,v8.2.0,N,N
118212024877,fed1da060edc54a513e1e0f1779462a9,157.81.133.81,Gaya,IN,18.929246,78.754039,v9.1.0,N,N
773350518711,daf619b1c7884d3565e6c7e6092d04f9,157.167.107.4,Bhopal,IN,23.280917,77.449863,Edge/124.0,N,N
472907235387,c7432c967f5ea4ade9081cc8aa69b426,117.3.85.191,Chennai,IN,13.115986,80.318993,Edge/124.0,N,N
